lon	lat	title	description	icon	iconSize	iconOffset
2.254460	41.930490	0	2016-09-17 00:00:35.616000	Ol_icon_blue_example.png	16,16	0,0
2.253910	41.930550	1	2016-09-17 00:04:26.000000	Ol_icon_blue_example.png	16,16	0,0
2.253270	41.930040	2	2016-09-17 00:05:22.000000	Ol_icon_blue_example.png	16,16	0,0
2.252410	41.930470	3	2016-09-17 00:06:58.000000	Ol_icon_blue_example.png	16,16	0,0
2.254690	41.930560	4	2016-09-17 00:07:12.933000	Ol_icon_blue_example.png	16,16	0,0
2.251130	41.930640	5	2016-09-17 00:08:40.000000	Ol_icon_blue_example.png	16,16	0,0
2.251530	41.930260	6	2016-09-17 00:10:43.000000	Ol_icon_blue_example.png	16,16	0,0
2.255860	41.929800	7	2016-09-17 00:11:16.297000	Ol_icon_blue_example.png	16,16	0,0
2.252330	41.930450	8	2016-09-17 00:11:46.000000	Ol_icon_blue_example.png	16,16	0,0
2.258150	41.929640	9	2016-09-17 00:15:19.698000	Ol_icon_blue_example.png	16,16	0,0
2.251650	41.930420	10	2016-09-17 00:16:14.000000	Ol_icon_blue_example.png	16,16	0,0
2.250890	41.930620	11	2016-09-17 00:17:15.000000	Ol_icon_blue_example.png	16,16	0,0
2.249390	41.930750	12	2016-09-17 00:19:19.000000	Ol_icon_blue_example.png	16,16	0,0
2.248950	41.929660	13	2016-09-17 00:21:18.000000	Ol_icon_blue_example.png	16,16	0,0
2.249090	41.928270	14	2016-09-17 00:23:21.000000	Ol_icon_blue_example.png	16,16	0,0
2.248080	41.927910	15	2016-09-17 00:25:27.040000	Ol_icon_blue_example.png	16,16	0,0
2.247500	41.927860	16	2016-09-17 00:27:29.068000	Ol_icon_blue_example.png	16,16	0,0
2.247150	41.927610	17	2016-09-17 00:30:35.089000	Ol_icon_blue_example.png	16,16	0,0
2.252770	41.921840	18	2016-09-17 00:44:02.292000	Ol_icon_blue_example.png	16,16	0,0
2.247650	41.927680	19	2016-09-17 00:56:15.273000	Ol_icon_blue_example.png	16,16	0,0
2.247220	41.927470	20	2016-09-17 00:56:32.267000	Ol_icon_blue_example.png	16,16	0,0
2.247070	41.927260	21	2016-09-17 00:58:24.281000	Ol_icon_blue_example.png	16,16	0,0
2.245880	41.927020	22	2016-09-17 01:00:53.282000	Ol_icon_blue_example.png	16,16	0,0
2.247160	41.927200	23	2016-09-17 01:05:02.278000	Ol_icon_blue_example.png	16,16	0,0
2.248030	41.927810	24	2016-09-17 01:08:05.310000	Ol_icon_blue_example.png	16,16	0,0
2.248970	41.929060	25	2016-09-17 01:11:08.000000	Ol_icon_blue_example.png	16,16	0,0
2.248970	41.930140	26	2016-09-17 01:13:10.000000	Ol_icon_blue_example.png	16,16	0,0
2.249380	41.931350	27	2016-09-17 01:15:17.000000	Ol_icon_blue_example.png	16,16	0,0
2.250200	41.932540	28	2016-09-17 01:17:21.000000	Ol_icon_blue_example.png	16,16	0,0
2.251070	41.933570	29	2016-09-17 01:20:23.000000	Ol_icon_blue_example.png	16,16	0,0
2.252560	41.933800	30	2016-09-17 01:22:26.000000	Ol_icon_blue_example.png	16,16	0,0
2.254050	41.934130	31	2016-09-17 01:24:31.000000	Ol_icon_blue_example.png	16,16	0,0
2.255800	41.934500	32	2016-09-17 01:26:38.000000	Ol_icon_blue_example.png	16,16	0,0
2.257640	41.934520	33	2016-09-17 01:28:37.000000	Ol_icon_blue_example.png	16,16	0,0
2.259170	41.935080	34	2016-09-17 01:30:39.000000	Ol_icon_blue_example.png	16,16	0,0
2.260950	41.935230	35	2016-09-17 01:32:48.000000	Ol_icon_blue_example.png	16,16	0,0
2.262660	41.935910	36	2016-09-17 01:34:52.000000	Ol_icon_blue_example.png	16,16	0,0
2.263810	41.935750	37	2016-09-17 01:38:33.508000	Ol_icon_blue_example.png	16,16	0,0
2.263340	41.935610	38	2016-09-17 01:39:14.529000	Ol_icon_blue_example.png	16,16	0,0
